ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Ralph,Stehr,jillian@example.com,1-508-206-0306 x7538,918-332-7101,Ernser and Hermann Inc,Mack Murazik,Rowe and Schultz Group,Torphy Islands,255,Zulauf mouth,Kansas,579,Maldives,XBB,$123132,2021-02-28,Inactive,Cydney Barton,11,ullam,"ut, iusto",Bachelor's Degree,
EMP0002,Melisa,Corwin,krystel@example.org,317-594-2950 x443,1-939-518-3402,MacGyver and Stanton and Sons,Alivia Douglas,Bartoletti Group,Kaylee Pines,1678,Port Suzanne Kautzer ville,Mississippi,725,Guatemala,BAM,$105475,2019-04-19,Inactive,Margot McDermott,6,"aut, delectus","et, modi",Bachelor's Degree,
EMP0003,Kyler,Koch,mafalda@example.org,841-520-3537 x12158,489.473.3243,Kemmer and Graham Group,Ulices Quigley,Gleason Inc,Wiegand Walks,47531,Lake Eda Shanahan borough,Iowa,2356,Sri Lanka,LAK,$147484,2021-05-31,Inactive,Adelia Treutel,11,mollitia,"tenetur, optio",Master's Degree,aut
EMP0004,Yvette,Koch,marley@example.com,653-675-5760 x368,1-814-277-0911,Bernier and Ledner Group,Bette Sporer,McKenzie and Cummings LLC,Langosh Unions,59579,West Rahsaan King port,Oklahoma,770,Gibraltar,SEK,$97096,2016-10-02,Active,Karina Hansen,7,"est, facilis","consequuntur, et",Bachelor's Degree,
EMP0005,Willie,Jaskolski,abby@example.net,1-260-022-6678 x22819,(951) 278-1887,Steuber and Cummerata LLC,Charles Schaefer,Spencer LLC,Schulist Springs,2873,Marvin port,California,321,San Marino,BAM,$110884,2016-05-09,Active,Laisha Beier,18,sit,"atque, nesciunt",Master's Degree,
EMP0006,Aida,Hayes,berneice@example.org,1-700-295-3471 x4561,615.426.5092,Harvey and Beatty Group,Jabari Murray,Thompson LLC,Mariam Stravenue,9262,Dach chester,Maine,51196,Uruguay,SVC,$104424,2017-03-15,Active,Sarina Rogahn,16,ex,"eligendi, praesentium, explicabo",Master's Degree,
EMP0007,Mazie,Leffler,watson@example.com,120.301.1930 x3487,390-763-8898,Effertz Group,Kennith O'Reilly,Anderson and Purdy Group,Tre Dam,0661,East Rebeka Howe view,Virginia,64484,Angola,NIO,$95297,2019-10-07,Active,Israel Stroman,3,voluptas,"quia, qui",Bachelor's Degree,
EMP0008,Edyth,Veum,valentina@example.com,(923) 849-1559 x67383,109-892-4033,Walker and Sons,Lura Keebler,Bartoletti and Prosacco LLC,Roberts Well,89769,McClure borough,New Hampshire,06597,China,RON,$66446,9/15/1999,Active,Janelle Wiza,19,"et, beatae","rerum, deleniti, praesentium",Bachelor's Degree,
EMP0009,Kristy,Graham,rick@example.net,(537) 242-8146 x96081,816-539-3584,Hermann LLC,Brandon Hoppe,Skiles and Daniel and Sons,Lysanne Mountains,9071,Hintz view,Tennessee,3575,Mauritius,ANG,$74596,2022-09-19,Inactive,Abbey Gorczany,2,"perspiciatis, porro","dolorem, qui",Bachelor's Degree,
EMP0010,Sammie,Auer,maritza@example.net,336-698-1083,1-356-269-9540,Glover and Little Group,Mauricio Frami,Strosin and Stamm LLC,Hal Heights,6384,Nitzsche haven,Washington,192,Grenada,LBP,$108637,2017-12-26,Inactive,Schuyler Emmerich,9,"culpa, et","molestias, ea, at",Bachelor's Degree,
